Fecha,Mes,Maquina,Pacas producidas,Horas trabajadas,Tiempo de Paro,Turno INICIO,Turno FINAL
2022-10-03 00:00:00.000,"octubre","Vinilos_4",79,8,0.25,,
2022-10-03 00:00:00.000,"octubre","Vinilos_4",78,8,0.25,,
2022-10-03 00:00:00.000,"octubre","Vinilos_4",76,8,0.25,,
2022-10-02 00:00:00.000,"octubre","Vinilos_3",42,8,0.25,,
2022-10-01 00:00:00.000,"octubre","Vinilos_4",60,8,0.25,,
2022-05-19 00:00:00.000,"mayo","Vinilos_3",60,8,0.25,,
2022-05-18 00:00:00.000,"mayo","Vinilos_4",51,8,0.25,,
2022-05-17 00:00:00.000,"mayo","Vinilos_4",61,8,0.25,,
2022-05-16 00:00:00.000,"mayo","Vinilos_4",31,8,0.25,,
2022-05-15 00:00:00.000,"mayo","Vinilos_4",33,8,0.25,,
2022-05-15 00:00:00.000,"mayo","Vinilos_4",47,8,0.25,,
2022-05-13 00:00:00.000,"mayo","Vinilos_4",41,8,0.25,,
2022-05-12 00:00:00.000,"mayo","Vinilos_4",52,8,0.25,,
2022-05-11 00:00:00.000,"mayo","Vinilos_4",48,8,0.25,,
2022-05-09 00:00:00.000,"mayo","Vinilos_1",44,8,0.25,,
2022-05-09 00:00:00.000,"mayo","Vinilos_4",50,8,0.25,,
2022-05-06 00:00:00.000,"mayo","Vinilos_4",60,8,0.25,,
2022-05-05 00:00:00.000,"mayo","Vinilos_4",53,8,0.25,,
2022-05-04 00:00:00.000,"mayo","Vinilos_1",39,8,0.25,,
2022-05-04 00:00:00.000,"mayo","Vinilos_3",64,8,0.25,,
2022-05-03 00:00:00.000,"mayo","Vinilos_1",46,8,0.25,,
2022-05-03 00:00:00.000,"mayo","Vinilos_2",40,8,0.25,,
2022-05-03 00:00:00.000,"mayo","Vinilos_3",60,8,0.25,,
2022-05-01 00:00:00.000,"mayo","Vinilos_4",82,8,0.25,,
2022-04-26 00:00:00.000,"abril","Vinilos_1",35,8,0.25,,
2022-04-26 00:00:00.000,"abril","Vinilos_3",87,8,0.25,,
2022-04-26 00:00:00.000,"abril","Vinilos_4",44,8,0.25,,
2022-04-25 00:00:00.000,"abril","Vinilos_4",59,8,0.25,,
2022-04-24 00:00:00.000,"abril","Vinilos_3",61,8,0.25,,
2022-04-24 00:00:00.000,"abril","Vinilos_3",82,8,0.25,,
2022-04-24 00:00:00.000,"abril","Vinilos_4",73,8,0.25,,
2022-04-23 00:00:00.000,"abril","Vinilos_3",84,8,0.25,,
2022-04-23 00:00:00.000,"abril","Vinilos_3",84,8,0.25,,
2022-04-23 00:00:00.000,"abril","Vinilos_4",85,8,0.25,,
2022-04-22 00:00:00.000,"abril","Vinilos_3",76,8,0.25,,
2022-04-21 00:00:00.000,"abril","Vinilos_3",79,8,0.25,,
2022-04-21 00:00:00.000,"abril","Vinilos_3",89,8,0.25,,
2022-04-21 00:00:00.000,"abril","Vinilos_4",83,8,0.25,,
2022-04-20 00:00:00.000,"abril","Vinilos_3",83,8,0.25,,
2022-04-20 00:00:00.000,"abril","Vinilos_4",80,8,0.25,,
2022-04-19 00:00:00.000,"abril","Vinilos_1",46,8,0.25,,
2022-04-19 00:00:00.000,"abril","Vinilos_2",180,8,0.25,,
2022-04-18 00:00:00.000,"abril","Vinilos_3",76,8,0.25,,
2022-04-18 00:00:00.000,"abril","Vinilos_3",86,8,0.25,,
2022-04-09 00:00:00.000,"abril","Vinilos_3",60,8,0.25,,
2022-04-08 00:00:00.000,"abril","Vinilos_3",57,8,0.25,,
2022-04-08 00:00:00.000,"abril","Vinilos_4",57,8,0.25,,
2022-04-08 00:00:00.000,"abril","Vinilos_4",69,8,0.25,,
2022-04-05 00:00:00.000,"abril","Vinilos_4",80,8,0.25,,
2022-04-04 00:00:00.000,"abril","Vinilos_4",81,8,0.25,,
2022-03-26 00:00:00.000,"marzo","Vinilos_3",57,8,0.25,,
